,DELT1,DELT2,DELT3,SUPSP,INFSP,SUBSC,TMIN,TMAJ,PECM1,PECM2,PECM3,LAT1,LAT2,LAT3,CORB,TRIlong,TRIlat,TRImed,ANC,SUP,BIClong,BICshort,BRA,BRD,PT,PQ
Baseline,0.33984402965565036,0.4966199059157192,0.3096012224218807,0.47756587522034244,0.33539417045437253,0.7385416981247962,0.303524718606309,0.4308793063377899,0.6447805381747443,0.5401548262819791,0.24860610346799997,0.32929086546512926,0.5998787579992324,0.31376214239977307,0.4188813535132728,0.16627739572720115,0.7746204222360404,0.6487761346323557,0.3677115260950546,0.5753707147555431,0.023486422269182877,0.1361844806823038,0.7711531012678162,0.11820318424822616,0.5850196920933697,0.7549335967931787
LayerNorm,0.5273108308168962,0.41911035685165576,0.36298834826620074,0.4767267863911697,0.2521176861762557,0.7064237911441213,0.17629786089769056,0.39864003688608507,0.5422794254818242,0.4774507225613871,0.32550339304140696,0.3830024609615488,0.6667531575063265,0.5498155962836708,0.3797706160373702,0.18930137330093486,0.5179608907190648,0.8136101852640589,0.454308124241724,0.6772162866765439,0.03734054414180438,0.16782999470776402,0.5702100614459156,0.12860478306986106,0.8707800313058646,0.5869477481674458
Dropout0.1,0.22283103296027246,0.5789286321357827,0.3662139638123093,0.5268369244565463,0.3053245668629476,0.6783531683237872,0.3847786543958116,0.7177741876119901,0.6150083294943433,0.5268570734554147,0.5601766445748518,0.5455363714991238,0.2582125419932153,0.3913827162245052,0.4089666568810685,0.26190834951388214,0.783995730426627,0.7779075631824536,0.6176899013113694,0.5091802951962681,0.011110846535112698,0.07129705600054997,0.8918529758664367,0.2303666924113755,0.7211660860117678,0.4986407460333021
Dropout0.2,0.37111191631574125,0.5497381578222317,0.5262616858137147,0.4771569833480543,0.12444412589304395,0.48672747854139525,0.5639309631045192,0.4298179120737802,0.6618909231051741,0.5114313522619865,0.3792302411461504,0.368725786718817,0.3583104743593957,0.31907212152016595,0.4200053874992696,0.03381624449580259,0.6282461447751049,0.8080637566182646,0.4210477502656969,0.6386062504511709,0.019552900190677066,0.1427934284457862,0.6116881916574788,0.08106914796344598,0.8260822727137523,0.4698090371794581
Dropout0.3,0.42232741230260307,0.46139567244761565,0.5330713085333836,0.504724124389696,0.2494050297262434,0.7273008071778818,0.3383163933674768,0.48476200369538364,0.5493550816573638,0.438162969679531,0.37985923203475996,0.5692622148448789,0.48923106540008093,0.5545854823902571,0.3426293504015276,0.14640006846953196,0.48258512235164575,0.7076108687388944,0.27432758666590545,0.41828845428217704,0.05309989618733586,0.12868648991494697,0.6601049614202799,0.12578864461670647,0.5557162597566062,0.4226958226383843
Dropout0.4,0.46126095646896537,0.608981604392751,0.4977596982132777,0.5706068406985242,0.2564665406678869,0.7148905214661059,0.47085690515610124,0.4534242521515664,0.47632296182806105,0.5576219926824773,0.5819624973681756,0.5897944640438141,0.48976528144781983,0.4527309229803799,0.47529948007744405,0.2575959166672429,0.710982136677779,0.7477755986404381,0.6301959392998511,0.4899433116525747,0.06094720661137466,0.1522598563982904,0.7156254489573896,0.2522342795610729,0.8745107365627072,0.6222990060051392
Dropout0.5,0.38182186206880286,0.5135218461397228,0.4561566307644869,0.3596501114942351,0.2827454000288164,0.6094376389744249,0.7118080290823967,0.3100839297295458,0.5350944612339558,0.5847708171283139,0.5023671465868479,0.4227703423332396,0.38844691894732514,0.45593601348551277,0.4661628315606303,0.07131033102985111,0.7246484657708578,0.6963861655268353,0.37796793397759804,0.47616821268094345,0.07014959469107997,0.14872506333707872,0.5457532658200158,0.23677933567305967,0.7867707608917589,0.7140202974268955
Reg1e-4,0.46519412241890845,0.45855215058854315,0.5731312073026541,0.5130661890482008,0.18815679127755225,0.6789252254692687,0.2297176307393855,0.4483425662047556,0.6411415426710002,0.5948465234386042,0.27505850897176126,0.6429366823534375,0.49803579613281057,0.399013030842978,0.44065941953312066,0.1057814735516369,0.7829344382699741,0.2279755172759738,0.6685560217133367,0.2198742549051527,0.008486461626040245,0.1580421944279086,0.6352416211326384,0.03146395950480469,0.8543284679945146,0.5643956458664384
Reg1e-5,0.3529764726000244,0.4866719787291434,0.4576363738016874,0.4170715036919421,0.4246873948283237,0.7085046690886112,0.3558035020897525,0.40717402512575374,0.7329750523476172,0.549913584022151,0.5466766966830738,0.5873761197694379,0.5534011621324766,0.44294748206439283,0.38439456850475917,0.08648304754470443,0.437898828029889,0.8847608020454119,0.48282438851618664,0.7104806901139072,0.018051282222927064,0.0388030997328609,0.8821983036874563,0.04819309839300597,0.5396622865510917,0.621096728063907
Reg1e-6,0.38181331850948974,0.4749048088600713,0.2949593084459149,0.6660743411914463,0.2244169505192262,0.7063637273042901,0.6149838431304934,0.41983255005905834,0.6628330958969778,0.5412878309108399,0.4327813143425456,0.3620605267793719,0.5840925383800865,0.5985209126751847,0.6077627851253083,0.029619801604448968,0.8417388215403422,0.6398953924260644,0.4515909458362845,0.33964932616967053,0.19568710239596188,0.08068510539200134,0.5945526137127641,0.2922549101613231,0.5782566797403502,0.7062989009769601
